,tconst,averageRating,numVotes
17874,tt0035423,6.4,84671
40648,tt0062336,6.4,161
46481,tt0069049,6.7,7358
63439,tt0088751,5.2,325
69746,tt0096056,5.6,821
73379,tt0100275,6.4,333
80230,tt0108549,7.8,33
83466,tt0112502,4.7,41
83905,tt0113026,5.6,1377
83956,tt0113092,3.4,821
85032,tt0114447,4.2,153
86239,tt0115937,7.7,13
86611,tt0116391,6.2,248
86805,tt0116628,6.3,62
87092,tt0116991,7.4,71
87468,tt0117461,6.3,24
87703,tt0117743,6.9,60
88041,tt0118141,5.4,910
88394,tt0118589,2.3,23563
88442,tt0118652,4.9,1835
88474,tt0118694,8.1,148250
88490,tt0118710,6.3,155
88614,tt0118852,7.1,4324
88683,tt0118926,6.9,6665
88752,tt0119004,5.6,4470
88944,tt0119231,4.4,184
88981,tt0119273,5.4,8699
89162,tt0119495,5.0,151
89293,tt0119645,4.2,19
89394,tt0119768,3.6,9
89426,tt0119806,6.0,42
89566,tt0119966,6.6,8
89569,tt0119970,5.9,122
89576,tt0119980,6.5,75
89734,tt0120166,4.2,603
89767,tt0120202,6.7,21416
89821,tt0120263,7.5,19138
89992,tt0120467,5.2,4137
90103,tt0120607,4.9,78
90116,tt0120624,6.6,170
90118,tt0120626,7.0,3184
90121,tt0120630,7.1,191550
90148,tt0120667,5.7,329438
90156,tt0120679,7.3,89902
90158,tt0120681,6.7,155689
90173,tt0120698,4.4,359
90196,tt0120733,5.6,350
90198,tt0120737,8.8,1837651
90211,tt0120753,5.7,21649
90213,tt0120755,6.1,341339
90254,tt0120804,6.6,270556
90256,tt0120807,4.9,317
90265,tt0120824,6.7,33063
90296,tt0120870,4.9,55
90322,tt0120903,7.3,611979
90326,tt0120912,6.1,373280
90327,tt0120913,6.6,61420
90329,tt0120917,7.4,202626
90473,tt0121164,7.3,270029
90787,tt0121765,6.6,704157
90788,tt0121766,7.6,783029
91009,tt0122161,4.9,404
91061,tt0122247,5.2,773
91206,tt0122459,6.9,21369
91527,tt0122936,4.0,6
91577,tt0123003,6.0,1547
91611,tt0123055,3.6,135
91951,tt0123581,5.1,73
92482,tt0124359,2.9,101
92771,tt0124889,5.3,110
92851,tt0125022,6.2,54857
93497,tt0126029,7.9,669648
94019,tt0126899,2.9,110
94267,tt0127349,6.5,7263
94645,tt0128158,4.7,102
94649,tt0128165,4.0,73
94665,tt0128216,3.2,291
95107,tt0129095,7.9,18
95748,tt0130623,6.4,60907
96199,tt0131597,5.1,24
96258,tt0131704,4.2,20403
96420,tt0132078,6.1,238
96475,tt0132245,4.6,41403
96714,tt0132885,4.6,388
96732,tt0132910,4.9,11618
96818,tt0133063,7.7,329
96876,tt0133152,5.7,219914
96937,tt0133240,7.1,118011
97170,tt0133752,6.6,105
97294,tt0134084,5.6,142786
97576,tt0134630,6.1,9663
97692,tt0134847,7.1,239579
97775,tt0134983,4.8,18159
98175,tt0135707,6.3,390
